Noise Rate,Model,Balancing,Accuracy,Macro F1,Weighted F1,Target Recall,Target Precision
0.0,SVM,None,0.9448932487016733,0.7526936962838139,0.9417172409151171,0.44594594594594594,0.7443609022556391
0.0,NN,None,0.9424408540103866,0.7781829858783104,0.9422541955749207,0.545045045045045,0.7469135802469136
0.0,SVM,ROS,0.9157530294287363,0.7258407118794455,0.9224704123601764,0.6441441441441441,0.48639455782312924
0.0,NN,ROS,0.9431621465666474,0.7637359122287259,0.9426373873479333,0.5675675675675675,0.6057692307692307
0.0,SVM,RUS,0.8088574725908828,0.5955921290410293,0.8426401697692668,0.7567567567567568,0.27450980392156865
0.0,NN,RUS,0.790536641661858,0.5679768246030409,0.8274568213644,0.7162162162162162,0.250788643533123
0.0,SVM,SMOTE,0.9288805539526832,0.7466476461195416,0.9326767845109474,0.6891891891891891,0.5032894736842105
0.0,NN,SMOTE,0.9399884593190998,0.7504096305115678,0.9397101232790196,0.536036036036036,0.5833333333333334
0.0,SVM,ADASYN,0.9353721869590306,0.7622518542482385,0.9370623311658982,0.7342342342342343,0.5292207792207793
0.0,NN,ADASYN,0.9470571263704558,0.7882250609985467,0.9468375842868862,0.5720720720720721,0.7094972067039106
0.0,SVM,Borderline-SMOTE,0.9405654933641084,0.7656410189452183,0.9403341135843617,0.5495495495495496,0.6559139784946236
0.0,NN,Borderline-SMOTE,0.9474899019042123,0.7869774234020611,0.9468677445925391,0.5720720720720721,0.7134831460674157
0.1,SVM,None,0.9394114252740912,0.7050580840192447,0.9345158205855649,0.3108108108108108,0.711340206185567
0.1,NN,None,0.9373918061165609,0.7318831300827062,0.9352371293481582,0.40540540540540543,0.703125
0.1,SVM,ROS,0.9115695326024236,0.6994369651792018,0.9183421981650198,0.5315315315315315,0.44029850746268656
0.1,NN,ROS,0.9352279284477785,0.7199248769770495,0.9337870533400724,0.4144144144144144,0.575
0.1,SVM,RUS,0.8134737449509521,0.5897849835280385,0.8464361531677391,0.7162162162162162,0.2576985413290113
0.1,NN,RUS,0.7709174841315638,0.5372866619563638,0.8134267769508847,0.6666666666666666,0.21203438395415472
0.1,SVM,SMOTE,0.9264281592613964,0.7339921591137369,0.9303320115067553,0.6261261261261262,0.4809688581314879
0.1,NN,SMOTE,0.9362377380265435,0.7265661754899835,0.9346055994927938,0.4009009009009009,0.644927536231884
0.1,SVM,ADASYN,0.9300346220427005,0.7317359410502284,0.9319750892759393,0.6171171171171171,0.479020979020979
0.1,NN,ADASYN,0.9396999422965955,0.7273690329291349,0.9372167805126814,0.36486486486486486,0.6982758620689655
0.1,SVM,Borderline-SMOTE,0.9373918061165609,0.716190696126338,0.9352189235925169,0.36486486486486486,0.6428571428571429
0.1,NN,Borderline-SMOTE,0.9391229082515868,0.7429209796087187,0.9375379468262737,0.43243243243243246,0.7058823529411765
0.25,SVM,None,0.9365262550490479,0.6619787934568832,0.9294676450447906,0.1981981981981982,0.7096774193548387
0.25,NN,None,0.9359492210040392,0.7125825503743254,0.9319950954367142,0.35135135135135137,0.7428571428571429
0.25,SVM,ROS,0.9079630698211194,0.676735454484648,0.9148135294947172,0.44144144144144143,0.4083333333333333
0.25,NN,ROS,0.9290248124639354,0.6634065021121421,0.9235408618673393,0.23423423423423423,0.6341463414634146
0.25,SVM,RUS,0.792267743796884,0.5546941030694507,0.8313548887871656,0.6756756756756757,0.21551724137931033
0.25,NN,RUS,0.7501442585112522,0.5056698331157589,0.7987959543781449,0.6396396396396397,0.1680473372781065
0.25,SVM,SMOTE,0.9257068667051356,0.7118001601696955,0.9291168661700326,0.5045045045045045,0.448
0.25,NN,SMOTE,0.9309001731102136,0.6892264934365131,0.9275150423452373,0.3108108108108108,0.6106194690265486
0.25,SVM,ADASYN,0.9326312752452395,0.7299246792147199,0.9344296437353884,0.5585585585585585,0.47692307692307695
0.25,NN,ADASYN,0.934939411425274,0.7042456955797798,0.929768023237251,0.3153153153153153,0.7692307692307693
0.25,SVM,Borderline-SMOTE,0.9373918061165609,0.6670935336968159,0.9318924834087478,0.1981981981981982,0.6875
0.25,NN,Borderline-SMOTE,0.9340738603577611,0.7091067455692365,0.9320981825856706,0.33783783783783783,0.6410256410256411
0.4,SVM,None,0.9324870167339873,0.6070678993729222,0.9220019854849162,0.09009009009009009,0.6896551724137931
0.4,NN,None,0.9301788805539527,0.6547083578925573,0.9226227101962854,0.21621621621621623,0.676056338028169
0.4,SVM,ROS,0.9043566070398154,0.6497102804033169,0.9103710633901919,0.3333333333333333,0.37755102040816324
0.4,NN,ROS,0.922533179457588,0.6014388966809762,0.9117261120895638,0.11711711711711711,0.5306122448979592
0.4,SVM,RUS,0.7563473744950953,0.5143406737732978,0.8049924576430082,0.5990990990990991,0.17662682602921648
0.4,NN,RUS,0.7150894402769763,0.47125446429267387,0.7727985662078791,0.5540540540540541,0.13789237668161436
0.4,SVM,SMOTE,0.9213791113675707,0.6740487412001102,0.9238827193295021,0.35585585585585583,0.3910891089108911
0.4,NN,SMOTE,0.9262839007501442,0.6317454597190363,0.9189871400546629,0.16216216216216217,0.5901639344262295
0.4,SVM,ADASYN,0.9300346220427005,0.7038235658079336,0.9312353730036094,0.4369369369369369,0.4349775784753363
0.4,NN,ADASYN,0.930467397576457,0.6400045622825504,0.9236606468380687,0.15765765765765766,0.6363636363636364
0.4,SVM,Borderline-SMOTE,0.9326312752452395,0.6148528799223619,0.9246473432139253,0.0945945945945946,0.5833333333333334
0.4,NN,Borderline-SMOTE,0.9290248124639354,0.6670651609659952,0.9244019664938675,0.25225225225225223,0.5233644859813084
