Noise Rate,Model,Balancing,Accuracy,Macro F1,Weighted F1,Target Recall,Target Precision
0.0,SVM,None,0.9448932487016733,0.7526936962838139,0.9417172409151171,0.988934764657308,0.9706597503647268
0.0,NN,None,0.9424408540103866,0.7781829858783104,0.9422541955749207,0.97588769611891,0.9779874213836478
0.0,SVM,ROS,0.9156087709174842,0.725518824676378,0.922315661662439,0.9421965317919075,0.987707756232687
0.0,NN,ROS,0.9431621465666474,0.7637359122287259,0.9426373873479333,0.980842279108175,0.977452271231073
0.0,SVM,RUS,0.8088574725908828,0.5955921290410293,0.8426401697692668,0.8186622625928984,0.9925911093311974
0.0,NN,RUS,0.790536641661858,0.5679768246030409,0.8274568213644,0.8051197357555739,0.9832593787817668
0.0,SVM,SMOTE,0.9288805539526832,0.7463591273538693,0.9326619575750077,0.9600330305532617,0.9849203659776347
0.0,NN,SMOTE,0.9399884593190998,0.7504096305115678,0.9397101232790196,0.9783649876135425,0.9777190955603234
0.0,SVM,ADASYN,0.9353721869590306,0.7622518542482385,0.9370623311658982,0.9701073492981007,0.9796531020680453
0.0,NN,ADASYN,0.9365262550490479,0.7530523944573998,0.9348412608830433,0.9780346820809248,0.9690721649484536
0.0,SVM,Borderline-SMOTE,0.9405654933641084,0.7656410189452183,0.9403341135843617,0.9760528488852188,0.9768595041322314
0.0,NN,Borderline-SMOTE,0.9474899019042123,0.7869774234020611,0.9468677445925391,0.9813377374071016,0.9787514412782079
0.1,SVM,None,0.8993075591459896,0.5729852482570743,0.8836256992687633,0.9831544178364987,0.9225166589183326
0.1,NN,None,0.8639642238892095,0.6108316304891255,0.8783551525665599,0.8972749793559042,0.9705251875669882
0.1,SVM,ROS,0.6096364685516446,0.42326959894941946,0.6903343431917671,0.6029727497935591,0.9751602564102564
0.1,NN,ROS,0.8959896133871899,0.6346496634089348,0.8976734723664846,0.9463253509496284,0.955955955955956
0.1,SVM,RUS,0.5152914021927294,0.37036470550986067,0.6094424578688689,0.4977704376548307,0.9719445340212834
0.1,NN,RUS,0.49379688401615696,0.35373131605280844,0.590585625691096,0.47910817506193226,0.9609142100033123
0.1,SVM,SMOTE,0.6686381996537796,0.4669661952620167,0.7408402352340705,0.6736581337737407,0.9659010182334833
0.1,NN,SMOTE,0.8646855164454703,0.5889014186172933,0.8742272848551952,0.9103220478943023,0.9531385094241743
0.1,SVM,ADASYN,0.6628678592036931,0.4517886266061329,0.7335917034140624,0.6751445086705202,0.9544711650712118
0.1,NN,ADASYN,0.8632429313329486,0.5698201710043901,0.8725799724266575,0.9114781172584641,0.9535245335176227
0.1,SVM,Borderline-SMOTE,0.7462492787074437,0.4780497867387572,0.7888168761097627,0.7796862097440133,0.9421273198962283
0.1,NN,Borderline-SMOTE,0.8568955568378535,0.5839626541457559,0.8691909638471603,0.900578034682081,0.9564988598491493
0.25,SVM,None,0.8713214079630698,0.5732293867503199,0.8687211902353894,0.9403798513625103,0.9302401568371181
0.25,NN,None,0.7543277553375649,0.4975881445778561,0.7968652862229771,0.7788604459124691,0.9575634517766497
0.25,SVM,ROS,0.5010098095787652,0.36278633297985124,0.5946566049962281,0.4777869529314616,0.9763752953088086
0.25,NN,ROS,0.7603866128101558,0.4998709368059364,0.8067086368559127,0.7962014863748967,0.9522022516294687
0.25,SVM,RUS,0.45181765724177725,0.33527205338560623,0.5465038394967381,0.42295623451692815,0.9700757575757576
0.25,NN,RUS,0.35083669936526257,0.27358490098387844,0.4380885736570303,0.31131296449215523,0.9607543323139653
0.25,SVM,SMOTE,0.54399884593191,0.3951769413144535,0.6370843101679491,0.528654004954583,0.9676541717049577
0.25,NN,SMOTE,0.7348528563185228,0.47063553646037287,0.7818086514553941,0.7611890999174236,0.9479638009049773
0.25,SVM,ADASYN,0.528995960761685,0.3841307724545889,0.6223725397631847,0.5146160198183319,0.9590643274853801
0.25,NN,ADASYN,0.740334679746105,0.4717894850591476,0.7872511642202479,0.7697770437654831,0.9527800490596893
0.25,SVM,Borderline-SMOTE,0.5890075014425851,0.3921226438732532,0.6708216060064057,0.5957060280759703,0.9368831168831169
0.25,NN,Borderline-SMOTE,0.7399019042123486,0.45563603188905394,0.7836681794978824,0.7777043765483072,0.9414234306277489
0.4,SVM,None,0.7862088863242931,0.5162492791174632,0.8168823103625594,0.8216350123864574,0.9510609826037086
0.4,NN,None,0.6110790536641661,0.40230533878567937,0.6878002885278076,0.6109000825763832,0.9597820446289569
0.4,SVM,ROS,0.45585689555683784,0.3352525252525253,0.5504117767042288,0.42807597027250205,0.9689719626168224
0.4,NN,ROS,0.6995095210617427,0.45223164945306804,0.7584910696572059,0.718579686209744,0.9579480405107882
0.4,SVM,RUS,0.4352279284477784,0.3273431961251228,0.5288972832194934,0.400990916597853,0.9770623742454728
0.4,NN,RUS,0.44547028274668204,0.3266429658384826,0.5424047771073398,0.4204789430222956,0.9614803625377644
0.4,SVM,SMOTE,0.4710040392383151,0.3530211742827882,0.5649008382227382,0.4402972749793559,0.967343976777939
0.4,NN,SMOTE,0.5755914598961339,0.3905723975497673,0.6598274647493746,0.5699421965317919,0.9586111111111111
0.4,SVM,ADASYN,0.43032313906520486,0.3302979971114226,0.5266752721567047,0.39950454170107347,0.9603017070265979
0.4,NN,ADASYN,0.5735718407386036,0.3791422978789418,0.6581270812991081,0.5734104046242775,0.948893140202241
0.4,SVM,Borderline-SMOTE,0.4946624350836699,0.3513004179411288,0.5874795473139776,0.47679603633360856,0.9474893337709223
0.4,NN,Borderline-SMOTE,0.598528563185228,0.3936074251326141,0.6785220908391536,0.60710156895128,0.9401534526854219
